Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	type	set
H.gene_Control	GO:0034975	protein folding in endoplasmic reticulum	5/137	15/14223	2.14165097471659e-07	0.000543551017383071	0.000484914868064778	CANX/HSPA5/HSP90B1/PDIA3/CALR	5	BP	SCZD case-control differences
H.gene_Control	GO:0006457	protein folding	11/137	229/14223	1.32462131493619e-05	0.0152975528719481	0.0136473129391399	PDIA6/CCT7/PDCL3/CANX/PDIA4/DNAJA1/HSPA5/HSP90B1/PDIA3/CDC37/CALR	11	BP	SCZD case-control differences
H.gene_Control	GO:0022409	positive regulation of cell-cell adhesion	10/137	194/14223	1.80822137966289e-05	0.0152975528719481	0.0136473129391399	TNFRSF14/NLRP3/HAVCR2/FLOT1/CCL19/CCDC88B/RASGRP1/CORO1A/CX3CL1/RARA	10	BP	SCZD case-control differences
H.gene_Control	GO:0060326	cell chemotaxis	10/137	209/14223	3.42901508242561e-05	0.0217571006979905	0.0194100301113092	CXCL10/VEGFC/PIK3CG/CCL19/NR4A1/PRKD1/CORO1A/CX3CL1/CALR/C5AR2	10	BP	SCZD case-control differences
H.gene_Control	GO:0045785	positive regulation of cell adhesion	12/137	318/14223	5.80660414746609e-05	0.0294743226525379	0.0262947484656833	TNFRSF14/NLRP3/VEGFC/HAVCR2/FLOT1/CCL19/CCDC88B/RASGRP1/CORO1A/CX3CL1/RARA/CALR	12	BP	SCZD case-control differences
H.gene_Control	GO:0036500	ATF6-mediated unfolded protein response	3/137	10/14223	9.98522311703767e-05	0.0417793619637967	0.0372723684559441	HSPA5/HSP90B1/CALR	3	BP	SCZD case-control differences
H.gene_Control	GO:0046683	response to organophosphorus	7/137	114/14223	0.00011523070675594	0.0417793619637967	0.0372723684559441	JUN/P2RY12/CRHBP/PIK3CG/HSPA5/GPD1/HSP90B1	7	BP	SCZD case-control differences
H.gene_Control	GO:0030595	leukocyte chemotaxis	8/137	157/14223	0.00013833636672792	0.0438872123444326	0.0391528322147047	CXCL10/VEGFC/PIK3CG/CCL19/CORO1A/CX3CL1/CALR/C5AR2	8	BP	SCZD case-control differences
H.gene_Control	GO:0050870	positive regulation of T cell activation	8/137	162/14223	0.000171742255415975	0.0484313160273049	0.0432067358362294	TNFRSF14/NLRP3/HAVCR2/CCL19/CCDC88B/RASGRP1/CORO1A/RARA	8	BP	SCZD case-control differences
H.gene_Control	GO:1903039	positive regulation of leukocyte cell-cell adhesion	8/137	169/14223	0.000229422733024087	0.0494242823619483	0.0440925848619099	TNFRSF14/NLRP3/HAVCR2/CCL19/CCDC88B/RASGRP1/CORO1A/RARA	8	BP	SCZD case-control differences
H.gene_Control	GO:0014074	response to purine-containing compound	7/137	130/14223	0.000260453126236345	0.0494242823619483	0.0440925848619099	JUN/P2RY12/CRHBP/PIK3CG/HSPA5/GPD1/HSP90B1	7	BP	SCZD case-control differences
H.gene_Control	GO:0050900	leukocyte migration	11/137	325/14223	0.0003064748719741	0.0494242823619483	0.0440925848619099	P2RY12/CXCL10/VEGFC/PIK3CG/CCL19/OLR1/CORO1A/ITGAX/CX3CL1/CALR/C5AR2	11	BP	SCZD case-control differences
H.gene_Control	GO:0051235	maintenance of location	10/137	276/14223	0.000338602720581023	0.0494242823619483	0.0440925848619099	CXCL10/NFKB1/CCL19/HSPA5/EHD1/B4GALNT1/HSP90B1/PDIA3/CORO1A/CALR	10	BP	SCZD case-control differences
H.gene_Control	GO:0048247	lymphocyte chemotaxis	4/137	35/14223	0.000342130209521079	0.0494242823619483	0.0440925848619099	CXCL10/PIK3CG/CCL19/CX3CL1	4	BP	SCZD case-control differences
H.gene_Control	GO:0032680	regulation of tumor necrosis factor production	6/137	97/14223	0.000344903814614133	0.0494242823619483	0.0440925848619099	SPON2/HAVCR2/CCL19/RASGRP1/RARA/C5AR2	6	BP	SCZD case-control differences
H.gene_Control	GO:0032753	positive regulation of interleukin-4 production	3/137	15/14223	0.000365464528655009	0.0494242823619483	0.0440925848619099	NLRP3/HAVCR2/RARA	3	BP	SCZD case-control differences
H.gene_Control	GO:0045624	positive regulation of T-helper cell differentiation	3/137	15/14223	0.000365464528655009	0.0494242823619483	0.0440925848619099	NLRP3/CCL19/RARA	3	BP	SCZD case-control differences
H.gene_Control	GO:1901739	regulation of myoblast fusion	3/137	15/14223	0.000365464528655009	0.0494242823619483	0.0440925848619099	CXCL10/FLOT1/EHD1	3	BP	SCZD case-control differences
H.gene_Control	GO:0032640	tumor necrosis factor production	6/137	100/14223	0.000406389562672046	0.0494242823619483	0.0440925848619099	SPON2/HAVCR2/CCL19/RASGRP1/RARA/C5AR2	6	BP	SCZD case-control differences
H.gene_Control	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	6/137	100/14223	0.000406389562672046	0.0494242823619483	0.0440925848619099	SPON2/HAVCR2/CCL19/RASGRP1/RARA/C5AR2	6	BP	SCZD case-control differences
H.gene_Control	GO:0097529	myeloid leukocyte migration	7/137	140/14223	0.000408947962805719	0.0494242823619483	0.0440925848619099	P2RY12/CXCL10/VEGFC/PIK3CG/CCL19/CX3CL1/C5AR2	7	BP	SCZD case-control differences
H.exon_Control	GO:0022409	positive regulation of cell-cell adhesion	19/306	194/14223	3.91123641598913e-08	0.000131352884399294	0.00011993604722895	TNFRSF14/CD55/NLRP3/AP3B1/HAVCR2/FLOT1/CCL19/CCDC88B/IL18/CD4/NCKAP1L/RASGRP1/CORO1A/CX3CL1/EFNB3/RARA/RASAL3/LILRB1/SRC	19	BP	SCZD case-control differences
H.exon_Control	GO:0050870	positive regulation of T cell activation	17/306	162/14223	7.5058791085311e-08	0.000131352884399294	0.00011993604722895	TNFRSF14/CD55/NLRP3/AP3B1/HAVCR2/CCL19/CCDC88B/IL18/CD4/NCKAP1L/RASGRP1/CORO1A/EFNB3/RARA/RASAL3/LILRB1/SRC	17	BP	SCZD case-control differences
H.exon_Control	GO:1903039	positive regulation of leukocyte cell-cell adhesion	17/306	169/14223	1.39627647358321e-07	0.000162898921918041	0.000148740188554338	TNFRSF14/CD55/NLRP3/AP3B1/HAVCR2/CCL19/CCDC88B/IL18/CD4/NCKAP1L/RASGRP1/CORO1A/EFNB3/RARA/RASAL3/LILRB1/SRC	17	BP	SCZD case-control differences
