type	set	features	genes	twas_fdr_features	twas_fdr_in_features	twas_fdr_out_features	twas_fdr_genes	twas_fdr_in_genes	twas_fdr_out_genes	twas_bonf_features	twas_bonf_in_features	twas_bonf_out_features	twas_bonf_genes	twas_bonf_in_genes	twas_bonf_out_genes
gene	DLPFC	5482	5482	406	125	281	406	125	281	81	60	21	81	60	21
exon	DLPFC	39131	8123	3057	957	2100	1012	276	739	371	333	38	128	107	21
jxn	DLPFC	20653	5732	1552	446	1106	663	177	487	194	167	27	102	82	20
tx	DLPFC	9061	6125	745	209	536	593	164	429	122	91	31	101	71	30
total	DLPFC	74327	11421	5760	1737	4023	1513	379	1137	768	651	117	239	184	56
gene	HIPPO	3977	3977	270	67	203	270	67	203	56	39	17	56	39	17
exon	HIPPO	25686	5934	1955	601	1354	698	189	513	246	208	38	90	73	17
jxn	HIPPO	16107	4974	1249	354	895	567	150	418	159	128	31	86	68	18
tx	HIPPO	7154	4996	607	170	437	495	137	359	117	90	27	101	74	27
total	HIPPO	52924	9949	4081	1192	2889	1254	315	945	578	465	113	217	157	60
gene	Intersection	2792	2792	138	44	94	138	44	94	27	20	7	27	20	7
exon	Intersection	13780	4482	754	254	500	387	134	255	87	83	4	54	46	8
jxn	Intersection	8438	3557	504	158	346	307	99	208	51	48	3	47	39	8
tx	Intersection	4114	3461	260	77	183	256	77	179	41	34	7	42	34	8
total	Intersection	29124	7069	1656	533	1123	624	194	432	206	185	21	102	80	22
gene	Union	6667	6667	538	148	390	538	148	390	110	79	31	110	79	31
exon	Union	51037	9575	4258	1304	2954	1323	331	997	530	458	72	164	134	30
jxn	Union	28322	7149	2297	642	1655	923	228	697	302	247	55	141	111	30
tx	Union	12101	7660	1092	302	790	832	224	609	198	147	51	160	111	49
total	Union	98127	13558	8185	2396	5789	2043	475	1576	1140	931	209	332	246	87
