"","SAMPLE_ID","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","rRNA_rate"
"HIPPO_Br2623_A01_ribo","HIPPO_Br2623_A01_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/Hippo_RiboZero/HISAT2_out/HIPPO_Br2623_A01_ribo_accepted_hits.sorted.bam",FALSE,34890046,17839037,17051009,0.5113,0.4243,17057287,1638546,0.0876423104549554,0.434923012648048,1.54749457164311e-05
"HIPPO_Br2623_C01_ribo","HIPPO_Br2623_C01_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/Hippo_RiboZero/HISAT2_out/HIPPO_Br2623_C01_ribo_accepted_hits.sorted.bam",FALSE,26173668,15607688,10565980,0.5963,0.4957,14732671,1463130,0.0903400825930128,0.396547700063915,2.12806583594362e-05
"HIPPO_Br2623_D01_ribo","HIPPO_Br2623_D01_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/Hippo_RiboZero/HISAT2_out/HIPPO_Br2623_D01_ribo_accepted_hits.sorted.bam",FALSE,39521386,13802520,25718866,0.3492,0.2783,12110236,2238709,0.156019066210094,0.456682460070703,9.20752819014236e-06
"HIPPO_Br5005_A02_ribo","HIPPO_Br5005_A02_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/Hippo_RiboZero/HISAT2_out/HIPPO_Br5005_A02_ribo_accepted_hits.sorted.bam",FALSE,41460200,16579021,24881179,0.3999,0.3285,15443194,1765232,0.102579515407162,0.450461167683594,1.72320853662947e-05
"HIPPO_Br5005_C02_ribo","HIPPO_Br5005_C02_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/Hippo_RiboZero/HISAT2_out/HIPPO_Br5005_C02_ribo_accepted_hits.sorted.bam",FALSE,32129126,19282536,12846590,0.6002,0.4934,18586042,1475486,0.0735480368195284,0.391157550038364,1.57595305761159e-05
"HIPPO_Br5005_D02_ribo","HIPPO_Br5005_D02_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/Hippo_RiboZero/HISAT2_out/HIPPO_Br5005_D02_ribo_accepted_hits.sorted.bam",FALSE,47510760,17009207,30501553,0.358,0.2925,15740832,1968842,0.111173249151848,0.401353931550021,1.51041110475443e-05
"HIPPO_Br5370_A03_ribo","HIPPO_Br5370_A03_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/Hippo_RiboZero/HISAT2_out/HIPPO_Br5370_A03_ribo_accepted_hits.sorted.bam",FALSE,45502406,13175746,32326660,0.2896,0.2331,12474532,1089073,0.0802937714567772,0.401717329724561,1.58838682053301e-05
"HIPPO_Br5370_C03_ribo","HIPPO_Br5370_C03_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/Hippo_RiboZero/HISAT2_out/HIPPO_Br5370_C03_ribo_accepted_hits.sorted.bam",FALSE,75028618,4227873,70800745,0.0564,0.0415,3943846,453215,0.103072256673264,0.387672875956234,1.85725569713185e-05
"HIPPO_Br5370_D03_ribo","HIPPO_Br5370_D03_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/Hippo_RiboZero/HISAT2_out/HIPPO_Br5370_D03_ribo_accepted_hits.sorted.bam",FALSE,41318058,9729557,31588501,0.2355,0.1826,8942644,1142153,0.113254932151832,0.356408470934735,1.77377114178692e-05
"HIPPO_Br5941_A05_ribo","HIPPO_Br5941_A05_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/Hippo_RiboZero/HISAT2_out/HIPPO_Br5941_A05_ribo_accepted_hits.sorted.bam",FALSE,55073344,15545634,39527710,0.2823,0.2312,14348025,1849774,0.114199095815425,0.452441471168797,1.40883962333264e-05
"HIPPO_Br5941_C05_ribo","HIPPO_Br5941_C05_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/Hippo_RiboZero/HISAT2_out/HIPPO_Br5941_C05_ribo_accepted_hits.sorted.bam",FALSE,49250432,14311958,34938474,0.2906,0.2366,13446430,1432343,0.0962675484060413,0.416026972341092,1.24287393681229e-05
"HIPPO_Br5941_D05_ribo","HIPPO_Br5941_D05_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/Hippo_RiboZero/HISAT2_out/HIPPO_Br5941_D05_ribo_accepted_hits.sorted.bam",FALSE,74575330,6198881,68376449,0.0831,0.0648,5602742,831661,0.129252239873691,0.436060273974191,1.46229343443542e-05
